Id;Tipo;Corpo Descricao;Data Publicado;Busca Parametro 2;Id Externo
42260661;twittersearch;RT @valor_economico: Bovespa mantém alta e marca 69.365 pontos http://is.gd/jMrV3;03/01/11 16:33;pt;camposegarcia
42260662;twittersearch;Será que teremos infraero na bovespa? =X;03/01/11 16:33;pt;Carlos_Ruffeil
42266276;twittersearch;@DiogoesuaGrana qual o minino de $$ recomendado pra comprar ações?;03/01/11 16:33;pt;thiago_silva10
42260663;twittersearch;RT @valor_economico: Bovespa fecha 2010 com alta de apenas 1,04% http://is.gd/jNgW7;03/01/11 16:32;pt;camposegarcia
42260664;twittersearch;RT @valor_economico: Ouro foi melhor investimento do ano com alta de 32% http://is.gd/jNAxl;03/01/11 16:32;pt;camposegarcia
42260665;twittersearch;RT @valor_economico: Bovespa ganhou 1% em 2010 http://is.gd/k0lxB;03/01/11 16:31;pt;camposegarcia
42260666;twittersearch;RT @valor_economico: Bovespa deve abrir negócios de 2011 no campo positivo http://is.gd/k0Qgf;03/01/11 16:30;pt;camposegarcia
42260667;twittersearch;RT @valor_economico: Ibovespa se aproxima dos 70 mil pontos no início do 1º pregão do ano http://is.gd/k0VkS;03/01/11 16:30;pt;camposegarcia
42260668;twittersearch;RT @OGlobo_Economia: Bovespa avança e dólar recua a R$ 1,65 no primeiro pregão do ano. http://ow.ly/3xoNy;03/01/11 16:30;pt;VIEIRA_KAKA
42260669;twittersearch;#mercado #Bovespa BM&F Bovespa e Babson College firmam parceria http://bit.ly/gYBBD4 #bolsa #finanças $$;03/01/11 16:29;pt;tradepips
42259280;twittersearch;Preciso de uns 5 monitores pra acompanhar a bovespa, tah trash;03/01/11 16:27;pt;thiagoschmitt
42259281;twittersearch;RT @uinstante: Ibovespa valoriza 1,51% aos 70.353 pontos - O giro financeiro era de R$ 3,76 bilhões. http://twurl.nl/xuebfu;03/01/11 16:26;pt;viabroker
42259282;twittersearch;A Bovespa, o dólar e as bolsas internacionais neste dia 3 de janeiro - O Globo Online http://t.co/RRqJZgN via @AddThis;03/01/11 16:22;pt;lukerider
42259283;twittersearch;Bovespa com alta de 1,5%. Indicadores econômicos positivos divulgados na China, na Europa e nos Estados Unidos animam os investidores.;03/01/11 16:22;pt;amarcosgiongo
42259285;twittersearch;RT @uinstante Ibovespa valoriza 1,51% aos 70.353 pontos http://bit.ly/hKpZGt #noticias;03/01/11 16:19;pt;jansencosta
42259284;twittersearch;Ibovespa valoriza 1,51% aos 70.353 pontos: O giro financeiro era de R$ 3,76 bilhões. http://bit.ly/hJeKez;03/01/11 16:19;pt;RaphaelInvestor
42259286;twittersearch;Valor: Bolsas europeias iniciam 2011 em forte alta http://bit.ly/eh99d2 #mercado #bovespa;03/01/11 16:18;pt;lopesbravo
42259287;twittersearch;Valor: Itaú inclui ações da Lopes e do Bradesco em carteira de janeiro http://bit.ly/eedPzB #mercado #bovespa;03/01/11 16:17;pt;lopesbravo
42259288;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO - As empresas brasileiras de cap... http://bit.ly/fO61hx;03/01/11 16:16;pt;eloipacher
42259290;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO - As empresa... http://bit.ly/hEE0Wb invistaativa.com.br;03/01/11 16:16;pt;jansencosta
42259289;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão http://bit.ly/ekSRuW #Economia;03/01/11 16:16;pt;jornaltwit
42259291;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO - As empresas brasileiras de cap... http://bit.ly/hEE0Wb;03/01/11 16:16;pt;vamateus_feeds
42262190;twittersearch;Spot BM&FBovespa cai a R$ 81,50 o grama     http://is.gd/k1TGC;03/01/11 16:16;all;AgenciaIN
42257697;twittersearch;"Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos";03/01/11 16:14;pt;UminvestMG
42257698;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão (uol): Share With Friends:  | Negócios ... http://feedzil.la/hLOHa2;03/01/11 16:13;pt;dinheirinho
42257699;twittersearch;Agência Brasil: Novo ministro defende Integração de políticas do setor agrário http://bit.ly/i7jtTe #bovespa;03/01/11 16:10;pt;lopesbravo
42257700;twittersearch;RT @OGlobo_Economia: Dólar tem menor valor em 2 anos e meio: R$ 1,64. http://ow.ly/3xvXo;03/01/11 16:08;pt;fernandopoliver
42257701;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão - O Globo http://dlvr.it/CbL5X #ibov #bovespa;03/01/11 16:07;pt;equipeidoji
42257703;twittersearch;"via UOL :: Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos http://bit.ly/eVz3pD";03/01/11 16:07;pt;investwitt
42257702;twittersearch;"Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos:  http://bit.ly/g7iNDo #VMConsulting";03/01/11 16:07;pt;vmoretoconsult
42257704;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão - O Globo http://dlvr.it/CbL4s #ibov #bovespa;03/01/11 16:07;pt;idojibovespa
42257705;twittersearch;http://bit.ly/hZoCOA - Estrangeiros retiram R$ 95,518 mi da Bovespa no dia 29;03/01/11 16:06;pt;admrafaelcaruso
42260762;twittersearch;RT @bolsadevaloress: http://bit.ly/6LePzO RT @azeitona_preta Curso Aprenda a investir na Bolsa de Valores, da LS Investimentos, de 29... http://bit.ly/hZsbDt;03/01/11 16:05;pt;azeitona_preta
42257706;twittersearch;(InfoMoney) Ansiedade por indicadores será marca da primeira semana do ano http://bit.ly/giY5Fn #mercado #bovespa;03/01/11 16:04;pt;lopesbravo
42257707;twittersearch;(InfoMoney) Bolsas dos EUA sobem entre indicadores divergentes e noticiário corporativo http://bit.ly/hAxKMW #mercado #bovespa;03/01/11 16:04;pt;lopesbravo
42257708;twittersearch;"RT @uoleconomia: Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos http://tinyurl.com/32p32sg #UOL";03/01/11 16:03;pt;jefersonci
42257709;twittersearch;"RT @uoleconomia: Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos http://tinyurl.com/32p32sg #UOL";03/01/11 16:03;pt;kpossebon
42257710;twittersearch;"Bovespa opera em alta no 1º pregão do ano; siga gráficos interativos http://tinyurl.com/32p32sg #UOL";03/01/11 16:03;pt;uoleconomia
42257711;twittersearch;#eusoudotempo em que tinha pregão viva-voz na Bovespa;03/01/11 16:02;pt;NegociodeBolsa
42257713;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO ? As empresas brasileiras de cap... http://bit.ly/hrvsAd;03/01/11 16:00;pt;sejabemsucedido
42257712;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO ? As empresas brasileiras de cap... http://bit.ly/emHpQH;03/01/11 16:00;pt;junior_jfr
42260717;twittersearch;@RitaMundim Rita bom, dia. Recomendaria investis por homebroker da empresa TOV. Abraços Wesley Soares;03/01/11 15:57;pt;ssoaressw
42257714;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: SÃO PAULO ? As empresas brasileiras de cap... http://bit.ly/gQX1r1;03/01/11 15:57;pt;linktvclipping
42257715;twittersearch;Ativa divulga carteira recomendada semanal - Nas últimas quatro semanas, a Carteira da Ativa acumula retorno positiv http://twurl.nl/1rqc6z;03/01/11 15:56;pt;uinstante
42257716;twittersearch;Ultimas - Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão: Valor Online - SÃO PAULO - As em... http://bit.ly/giwNEz;03/01/11 15:56;pt;infopriv
42257717;twittersearch;Dólar tem menor valor em 2 anos e meio: R$ 1,64. http://ow.ly/3xvXo;03/01/11 15:55;pt;OGlobo_Economia
42257718;twittersearch;Primeiro dia da Bovespa em 2011, trabalhando em alta.;03/01/11 15:54;pt;FabricioDutra_
42255273;twittersearch;Bovespa encerra 2010 com valor de mercado recorde de US$ 1,5 trilhão!;03/01/11 15:52;pt;cassianorosas
